,date,demand
1387,2018-10-19,107940.16000000002
1388,2018-10-20,99368.85499999997
1389,2018-10-21,98427.53
1390,2018-10-22,105893.615
1391,2018-10-23,109241.565
1392,2018-10-24,111423.365
1393,2018-10-25,112414.39000000004
1394,2018-10-26,111145.12
1395,2018-10-27,97973.985
1396,2018-10-28,95624.015
1397,2018-10-29,110196.61499999996
1398,2018-10-30,113459.025
1399,2018-10-31,114402.74499999998
1400,2018-11-01,119350.665
1401,2018-11-02,116793.855
1402,2018-11-03,93859.285
1403,2018-11-04,96432.625
1404,2018-11-05,107014.075
1405,2018-11-06,100696.565
1406,2018-11-07,106387.19500000004
1407,2018-11-08,109430.37
1408,2018-11-09,112506.95
1409,2018-11-10,100203.55
1410,2018-11-11,94602.89
1411,2018-11-12,114159.595
1412,2018-11-13,120185.265
1413,2018-11-14,116487.58
1414,2018-11-15,108628.34
1415,2018-11-16,107405.925
1416,2018-11-17,90498.92
1417,2018-11-18,92043.13
1418,2018-11-19,113978.535
1419,2018-11-20,118330.62499999994
1420,2018-11-21,106618.19499999998
1421,2018-11-22,107278.83
1422,2018-11-23,113582.6
1423,2018-11-24,101352.12
1424,2018-11-25,96240.40999999996
1425,2018-11-26,110547.60500000004
1426,2018-11-27,109706.42000000004
1427,2018-11-28,106684.825
1428,2018-11-29,112586.74
1429,2018-11-30,110031.81999999998
1430,2018-12-01,100725.23999999998
1431,2018-12-02,88903.065
1432,2018-12-03,107666.305
1433,2018-12-04,111718.075
1434,2018-12-05,114225.12000000002
1435,2018-12-06,135452.26
1436,2018-12-07,156648.40500000006
1437,2018-12-08,121237.47
1438,2018-12-09,102161.115
1439,2018-12-10,110803.76499999998
1440,2018-12-11,114413.785
1441,2018-12-12,129715.465
1442,2018-12-13,114986.33000000002
1443,2018-12-14,110025.465
1444,2018-12-15,102577.145
1445,2018-12-16,99110.77500000002
1446,2018-12-17,112804.4
1447,2018-12-18,113485.10500000004
1448,2018-12-19,119907.24499999998
1449,2018-12-20,111880.525
1450,2018-12-21,102075.925
1451,2018-12-22,92725.73999999998
1452,2018-12-23,94938.395
1453,2018-12-24,112358.81500000002
1454,2018-12-25,98191.65500000004
1455,2018-12-26,100017.195
